010120180800  3.571
010120180810  3.541
010120180820  3.484
010120180830  3.442
010120180840  3.376
010120180850  3.298
010120180900  3.204
010120180910  3.128
010120180920  3.045
010120180930  2.937
010120180940  2.832
010120180950  2.720
010120181000  2.607
010120181010  2.503
010120181020  2.412
010120181030  2.306
010120181040  2.207
010120181050  2.093
010120181100  1.971
010120181110  1.853
010120181120  1.739
010120181130  1.626
010120181140  1.508
010120181150  1.426
010120181200  1.349
010120181210  1.275
010120181220  1.195
010120181230  1.134
010120181240  1.076
010120181250  1.008
010120181300  0.943
010120181310  0.883
010120181320  0.838
010120181330  0.801
010120181340  0.781
010120181350  0.761
010120181400  0.734
010120181410  0.709
010120181420  0.704
010120181430  0.739
010120181440  0.776
010120181450  0.828
010120181500  0.873
010120181510  0.937
010120181520  1.006
010120181530  1.070
010120181540  1.152
010120181550  1.234
010120181600  1.346
010120181610  1.440
010120181620  1.528
010120181630  1.620
010120181640  1.709
010120181650  1.799
010120181700  1.891
010120181710  1.971
010120181720  2.060
010120181730  2.149
010120181740  2.235
010120181750  2.317
010120181800  2.400
010120181810  2.492
010120181820  2.561
010120181830  2.623
010120181840  2.678
010120181850  2.730
010120181900  2.769
010120181910  2.828
010120181920  2.862
010120181930  2.878
010120181940  2.934
010120181950  2.958
010120182000  3.029
010120182010  2.993
010120182020  2.911
010120182030  2.883
010120182040  2.831
010120182050  2.766
010120182100  2.713
010120182110  2.649
010120182120  2.533
010120182130  2.439
010120182140  2.353
010120182150  2.214
010120182200  2.087
010120182210  2.034
010120182220  1.954
010120182230  1.867
010120182240  1.752
010120182250  1.651
010120182300  1.535
010120182310  1.524
010120182320  1.416
010120182330  1.318
010120182340  1.189
010120182350  1.115
020120180000  1.027
020120180010  0.962
020120180020  0.886
020120180030  0.835
020120180040  0.783
020120180050  0.700
020120180100  0.643
020120180110  0.591
020120180120  0.571
020120180130  0.522
020120180140  0.460
020120180150  0.445
020120180200  0.424
020120180210  0.395
020120180220  0.417
020120180230  0.428
020120180240  0.479
020120180250  0.505
020120180300  0.552
020120180310  0.603
020120180320  0.696
020120180330  0.833
020120180340  0.915
020120180350  1.002
020120180400  1.095
020120180410  1.212
020120180420  1.329
020120180430  1.477
020120180440  1.567
020120180450  1.689
020120180500  1.863
020120180510  1.983
020120180520  2.121
020120180530  2.264
020120180540  2.383
020120180550  2.487
020120180600  2.630
020120180610  2.737
020120180620  2.823
020120180630  2.932
020120180640  3.065
020120180650  3.192
020120180700  3.310
020120180710  3.369
020120180720  3.459
020120180730  3.528
020120180740  3.593
020120180750  3.642
020120180800  3.697
020120180810  3.718
020120180820  3.731
020120180830  3.733
020120180840  3.743
020120180850  3.736
020120180900  3.704
020120180910  3.677
020120180920  3.613
020120180930  3.524
020120180940  3.442
020120180950  3.386
020120181000  3.284
020120181010  3.182
020120181020  3.070
020120181030  2.963
020120181040  2.860
020120181050  2.727
020120181100  2.594
020120181110  2.451
020120181120  2.340
020120181130  2.226
020120181140  2.104
020120181150  2.003
020120181200  1.880
020120181210  1.779
020120181220  1.669
020120181230  1.557
020120181240  1.462
020120181250  1.401
020120181300  1.296
020120181310  1.224
020120181320  1.159
020120181330  1.081
020120181340  1.004
020120181350  0.938
020120181400  0.892
020120181410  0.840
020120181420  0.809
020120181430  0.788
020120181440  0.769
020120181450  0.746
020120181500  0.742
020120181510  0.739
020120181520  0.764
020120181530  0.794
020120181540  0.842
020120181550  0.885
020120181600  0.955
020120181610  1.035
020120181620  1.097
020120181630  1.175
020120181640  1.266
020120181650  1.332
020120181700  1.409
020120181710  1.506
020120181720  1.590
020120181730  1.686
020120181740  1.787
020120181750  1.883
020120181800  1.977
020120181810  2.084
020120181820  2.169
020120181830  2.253
020120181840  2.348
020120181850  2.431
020120181900  2.533
020120181910  2.603
020120181920  2.678
020120181930  2.750
020120181940  2.811
020120181950  2.873
020120182000  2.931
020120182010  2.962
020120182020  2.985
020120182030  3.046
020120182040  3.066
020120182050  3.089
020120182100  3.100
020120182110  3.025
020120182120  2.982
020120182130  2.957
